"","ticker","etf_name"
"336","289670","ARIRANG ±¹Ã¤¼±¹°10³â"
"337","342500","KBSTAR KRX±¹Ã¤¼±¹°3³â10³â½ºÆ¼ÇÁ³Ê"
"338","307020","KBSTAR KRX300¼±¹°ÀÎ¹ö½º"
"339","189400","ARIRANG ±Û·Î¹úMSCI(ÇÕ¼º H)"
"340","145850","TREX ÆÝ´õ¸àÅ» 200"
"341","342610","KBSTAR KRX±¹Ã¤¼±¹°3³â10³âÇÃ·¡Æ®³Ê"
"342","307620","TIGER KRX300¼±¹°ÀÎ¹ö½º"
"343","251890","KINDEX ÄÚ½º´Ú(ÇÕ¼º)"
"344","342620","KBSTAR KRX±¹Ã¤¼±¹°3³â10³âÇÃ·¡Æ®³Ê2X"
"345","238670","ARIRANG ½º¸¶Æ®º£Å¸QualityÃ¤±ÇÈ¥ÇÕ"
"346","196030","KINDEX ÀÏº»TOPIX·¹¹ö¸®Áö(H)"
"347","296710","KODEX FnKorea50"
"348","139220","TIGER 200 °Ç¼³"
"349","166400","TIGER 200Ä¿¹öµåÄÝ5%OTM"
"350","298770","KODEX ÇÑ±¹´ë¸¸ITÇÁ¸®¹Ì¾î"
"351","244660","KODEX Ä÷¸®Æ¼Plus"
"352","287330","KBSTAR 200»ýÈ°¼ÒºñÀç"
"353","138920","KODEX Äá¼±¹°(H)"
"354","271060","KODEX 3´ë³ó»ê¹°¼±¹°(H)"
"355","290130","KBSTAR ESG»çÈ¸Ã¥ÀÓÅõÀÚ"
"356","289250","TIGER MSCI KOREA ESGÀ¯´Ï¹ö¼³"
"357","139320","TIGER ±ÝÀº¼±¹°(H)"
"358","307610","TIGER KRX300·¹¹ö¸®Áö"
"359","269530","ARIRANG S&P±Û·Î¹úÀÎÇÁ¶ó"
"360","192720","ÆÄ¿ö °í¹è´çÀúº¯µ¿¼º"
"361","292130","TIGER Áß¼ÒÇü¼ºÀå"
"362","228810","TIGER ¹Ìµð¾îÄÁÅÙÃ÷"
"363","252410","KBSTAR 200¼±¹°ÀÎ¹ö½º"
"364","306530","HANARO ÄÚ½º´Ú150¼±¹°·¹¹ö¸®Áö"
"365","301410","ARIRANG ÄÚ½º´Ú150¼±¹°ÀÎ¹ö½º"
"366","291130","KINDEX ¸ß½ÃÄÚMSCI(ÇÕ¼º)"
"367","309210","ARIRANG KRX300Çï½ºÄÉ¾î"
"368","170350","TIGER º£Å¸ÇÃ·¯½º"
"369","292590","TIGER ÀÏº»¿£¼±¹°ÀÎ¹ö½º2X"
"370","290080","KBSTAR 200°í¹è´çÄ¿¹öµåÄÝATM"
"371","213630","ARIRANG ¹Ì±¹´Ù¿ìÁ¸½º°í¹è´çÁÖ(ÇÕ¼º H)"
"372","314700","HANARO ³ó¾÷À¶º¹ÇÕ»ê¾÷"
"373","225060","TIGER ÀÌ¸ÓÂ¡¸¶ÄÏMSCI·¹¹ö¸®Áö(ÇÕ¼º H)"
"374","266390","KODEX °æ±â¼ÒºñÀç"
"375","102960","KODEX ±â°èÀåºñ"
"376","275280","KODEX MSCI¸ð¸àÅÒ"
"377","300640","KBSTAR °ÔÀÓÅ×¸¶"
"378","211260","KINDEX ¹è´ç¼ºÀå"
"379","292770","KODEX ±¹Ã¤¼±¹°3³âÀÎ¹ö½º"
"380","289260","TIGER MSCI KOREA ESG¸®´õ½º"
"381","300610","TIGER K°ÔÀÓ"
"382","292100","TIGER ´ëÇü¼ºÀå"
"383","138910","KODEX ±¸¸®¼±¹°(H)"
"384","307520","TIGER ÁöÁÖÈ¸»ç"
"385","299080","KINDEX ±¹Ã¤¼±¹°3³âÀÎ¹ö½º"
